Date,Open,High,Low,Close,Adj Close,Volume,Currency
1-Oct-25,"9,350.46","9,787.63","9,276.91","9,717.25","9,717.25","16,480,000,000",GBP
1-Sep-25,"9,187.34","9,363.57","9,107.40","9,350.43","9,350.43","15,830,000,000",GBP
1-Aug-25,"9,132.81","9,357.51","9,027.94","9,187.34","9,187.34","14,890,000,000",GBP
1-Jul-25,"8,760.96","9,190.73","8,726.92","9,132.81","9,132.81","16,220,000,000",GBP
1-Jun-25,"8,772.38","8,902.40","8,707.65","8,760.96","8,760.96","16,090,000,000",GBP
1-May-25,"8,494.85","8,824.00","8,468.26","8,772.38","8,772.38","18,740,000,000",GBP
1-Apr-25,"8,582.81","8,671.91","7,544.83","8,494.85","8,494.85","21,430,000,000",GBP
1-Mar-25,"8,809.74","8,908.82","8,481.11","8,582.81","8,582.81","20,810,000,000",GBP
1-Feb-25,"8,673.96","8,820.93","8,520.20","8,809.74","8,809.74","19,200,000,000",GBP
1-Jan-25,"8,173.02","8,692.84","8,160.60","8,673.96","8,673.96","18,070,000,000",GBP
1-Dec-24,"8,287.30","8,388.37","8,002.34","8,173.02","8,173.02","14,580,000,000",GBP
1-Nov-24,"8,110.10","8,307.27","7,995.87","8,287.30","8,287.30","17,710,000,000",GBP
1-Oct-24,"8,236.95","8,395.58","8,071.72","8,110.10","8,110.10","18,650,000,000",GBP
1-Sep-24,"8,376.63","8,380.98","8,168.42","8,236.95","8,236.95","16,740,000,000",GBP
1-Aug-24,"8,283.36","8,414.37","8,008.23","8,376.63","8,376.63","1,080,000,000",GBP
1-Jul-24,"8,164.12","8,399.88","8,056.01","8,367.98","8,367.98","16,540,000,000",GBP
1-Jun-24,"8,275.38","8,371.72","8,112.93","8,164.12","8,164.12","18,580,000,000",GBP
1-May-24,"8,144.13","8,474.41","8,111.38","8,275.38","8,275.38","21,440,000,000",GBP
1-Apr-24,"7,952.62","8,199.95","7,793.91","8,144.13","8,144.13","19,990,000,000",GBP
1-Mar-24,"7,630.02","7,975.38","7,598.47","7,952.62","7,952.62","22,360,000,000",GBP
1-Feb-24,"7,630.57","7,748.73","7,492.98","7,630.02","7,630.02","21,730,000,000",GBP
1-Jan-24,"7,733.24","7,764.37","7,404.08","7,630.57","7,630.57","17,950,000,000",GBP
1-Dec-23,"7,453.75","7,762.88","7,453.75","7,733.24","7,733.24","14,840,000,000",GBP
1-Nov-23,"7,321.72","7,533.77","7,304.89","7,453.75","7,453.75","15,170,000,000",GBP
1-Oct-23,"7,608.08","7,687.91","7,279.86","7,321.72","7,321.72","15,120,000,000",GBP
1-Sep-23,"7,439.13","7,746.53","7,369.64","7,608.08","7,608.08","14,470,000,000",GBP
1-Aug-23,"7,699.41","7,715.24","7,215.76","7,439.13","7,439.13","15,220,000,000",GBP
1-Jul-23,"7,531.53","7,722.92","7,229.57","7,699.41","7,699.41","12,960,000,000",GBP
1-Jun-23,"7,446.14","7,687.61","7,401.18","7,531.53","7,531.53","15,990,000,000",GBP
1-May-23,"7,870.57","7,898.69","7,446.14","7,446.14","7,446.14","17,580,000,000",GBP
1-Apr-23,"7,631.74","7,936.11","7,631.74","7,870.57","7,870.57","13,300,000,000",GBP
1-Mar-23,"7,876.28","7,974.40","7,206.82","7,631.74","7,631.74","22,220,000,000",GBP
1-Feb-23,"7,771.70","8,047.06","7,745.43","7,876.28","7,876.28","16,620,000,000",GBP
1-Jan-23,"7,451.74","7,875.58","7,448.69","7,771.70","7,771.70","17,090,000,000",GBP
1-Dec-22,"7,573.05","7,599.70","7,302.82","7,451.74","7,451.74","12,470,000,000",GBP
1-Nov-22,"7,094.53","7,599.27","7,076.47","7,573.05","7,573.05","16,730,000,000",GBP
1-Oct-22,"6,893.81","7,132.85","6,707.62","7,094.53","7,094.53","18,290,000,000",GBP
1-Sep-22,"7,284.15","7,514.04","6,829.29","6,893.81","6,893.81","21,810,000,000",GBP
1-Aug-22,"7,446.01","7,578.85","7,263.62","7,284.15","7,284.15","14,590,000,000",GBP
1-Jul-22,"7,169.28","7,441.20","7,007.09","7,423.43","7,423.43","16,840,000,000",GBP
1-Jun-22,"7,607.66","7,646.66","6,998.17","7,169.28","7,169.28","17,750,000,000",GBP
1-May-22,"7,544.55","7,648.26","7,158.53","7,607.66","7,607.66","19,910,000,000",GBP
1-Apr-22,"7,515.68","7,669.56","7,339.53","7,544.55","7,544.55","17,230,000,000",GBP
1-Mar-22,"7,458.25","7,595.42","6,787.98","7,515.68","7,515.68","27,520,000,000",GBP
1-Feb-22,"7,464.37","7,687.27","7,204.74","7,458.25","7,458.25","19,690,000,000",GBP
1-Jan-22,"7,384.54","7,619.01","7,283.38","7,464.37","7,464.37","17,840,000,000",GBP
1-Dec-21,"7,059.45","7,457.14","7,059.35","7,384.54","7,384.54","14,280,000,000",GBP
1-Nov-21,"7,237.57","7,402.68","6,989.66","7,059.45","7,059.45","18,020,000,000",GBP
1-Oct-21,"7,086.42","7,281.17","6,945.50","7,237.57","7,237.57","15,350,000,000",GBP
1-Sep-21,"7,119.70","7,195.62","6,828.28","7,086.42","7,086.42","15,660,000,000",GBP
1-Aug-21,"7,032.30","7,224.46","6,993.06","7,119.70","7,119.70","12,390,000,000",GBP
1-Jul-21,"7,037.47","7,170.60","6,813.03","7,032.30","7,032.30","13,540,000,000",GBP
1-Jun-21,"7,022.61","7,217.54","6,948.63","7,037.47","7,037.47","14,950,000,000",GBP
1-May-21,"6,969.81","7,164.18","6,823.60","7,022.61","7,022.61","14,310,000,000",GBP
1-Apr-21,"6,713.63","7,040.26","6,713.63","6,969.81","6,969.81","13,530,000,000",GBP
1-Mar-21,"6,483.43","6,812.78","6,483.43","6,713.63","6,713.63","19,560,000,000",GBP
1-Feb-21,"6,407.46","6,799.92","6,407.46","6,483.43","6,483.43","16,900,000,000",GBP
1-Jan-21,"6,460.52","6,903.61","6,397.24","6,407.46","6,407.46","15,240,000,000",GBP
1-Dec-20,"6,266.19","6,676.60","6,263.60","6,460.52","6,460.52","17,480,000,000",GBP
1-Nov-20,"5,577.27","6,468.73","5,554.73","6,266.19","6,266.19","23,270,000,000",GBP
1-Oct-20,"5,866.10","6,040.47","5,525.52","5,577.27","5,577.27","16,270,000,000",GBP
1-Sep-20,"5,963.57","6,123.69","5,771.49","5,866.10","5,866.10","16,790,000,000",GBP
1-Aug-20,"5,897.76","6,297.20","5,857.06","5,963.57","5,963.57","11,920,000,000",GBP
1-Jul-20,"6,169.74","6,323.55","5,897.76","5,897.76","5,897.76","16,140,000,000",GBP
1-Jun-20,"6,076.60","6,511.84","5,952.44","6,169.74","6,169.74","21,940,000,000",GBP
1-May-20,"5,901.21","6,234.04","5,661.14","6,076.60","6,076.60","20,950,000,000",GBP
1-Apr-20,"5,671.96","6,151.58","5,395.07","5,901.21","5,901.21","23,750,000,000",GBP
1-Mar-20,"6,580.61","6,856.27","4,898.79","5,671.96","5,671.96","37,390,000,000",GBP
1-Feb-20,"7,286.01","7,547.65","6,460.08","6,580.61","6,580.61","16,540,000,000",GBP
1-Jan-20,"7,542.44","7,689.67","7,275.03","7,286.01","7,286.01","13,190,000,000",GBP
1-Dec-19,"7,346.53","7,665.40","7,131.16","7,542.44","7,542.44","14,570,000,000",GBP
1-Nov-19,"7,248.38","7,446.00","7,197.33","7,346.53","7,346.53","14,230,000,000",GBP
1-Oct-19,"7,408.21","7,433.24","7,004.43","7,248.38","7,248.38","18,280,000,000",GBP
1-Sep-19,"7,207.18","7,440.77","7,199.40","7,408.21","7,408.21","15,850,000,000",GBP
1-Aug-19,"7,586.78","7,609.98","7,020.22","7,207.18","7,207.18","16,060,000,000",GBP
1-Jul-19,"7,425.63","7,727.49","7,425.63","7,586.78","7,586.78","14,650,000,000",GBP
1-Jun-19,"7,161.71","7,469.19","7,079.71","7,425.63","7,425.63","14,520,000,000",GBP
1-May-19,"7,418.22","7,446.46","7,130.85","7,161.71","7,161.71","15,760,000,000",GBP
1-Apr-19,"7,279.19","7,528.93","7,279.19","7,418.22","7,418.22","13,700,000,000",GBP
1-Mar-19,"7,074.73","7,370.61","7,074.73","7,279.19","7,279.19","15,650,000,000",GBP
1-Feb-19,"6,968.85","7,261.63","6,968.85","7,074.73","7,074.73","13,670,000,000",GBP
1-Jan-19,"6,728.13","7,001.94","6,599.48","6,968.85","6,968.85","15,440,000,000",GBP
1-Dec-18,"6,980.24","7,145.49","6,536.53","6,728.13","6,728.13","15,330,000,000",GBP
1-Nov-18,"7,128.10","7,196.39","6,904.21","6,980.24","6,980.24","18,830,000,000",GBP
1-Oct-18,"7,510.20","7,526.20","6,851.59","7,128.10","7,128.10","19,120,000,000",GBP
1-Sep-18,"7,432.42","7,552.02","7,220.50","7,510.20","7,510.20","15,320,000,000",GBP
1-Aug-18,"7,748.76","7,790.17","7,428.67","7,432.42","7,432.42","15,620,000,000",GBP
1-Jul-18,"7,636.93","7,782.90","7,540.71","7,748.76","7,748.76","16,070,000,000",GBP
1-Jun-18,"7,678.20","7,793.45","7,508.32","7,636.93","7,636.93","20,020,000,000",GBP
1-May-18,"7,509.30","7,903.50","7,492.39","7,678.20","7,678.20","19,190,000,000",GBP
1-Apr-18,"7,056.61","7,546.16","6,971.75","7,509.30","7,509.30","16,090,000,000",GBP
1-Mar-18,"7,231.91","7,254.87","6,866.94","7,056.61","7,056.61","17,620,000,000",GBP
1-Feb-18,"7,533.55","7,554.73","7,073.03","7,231.91","7,231.91","17,110,000,000",GBP
1-Jan-18,"7,687.77","7,792.56","7,521.77","7,533.55","7,533.55","17,010,000,000",GBP
1-Dec-17,"7,326.67","7,697.62","7,288.73","7,687.77","7,687.77","14,160,000,000",GBP
1-Nov-17,"7,493.08","7,582.85","7,326.67","7,326.67","7,326.67","18,750,000,000",GBP
1-Oct-17,"7,372.76","7,565.11","7,372.73","7,493.08","7,493.08","17,740,000,000",GBP
1-Sep-17,"7,430.62","7,460.52","7,196.58","7,372.76","7,372.76","15,930,000,000",GBP
1-Aug-17,"7,372.00","7,551.85","7,289.20","7,430.62","7,430.62","14,950,000,000",GBP
1-Jul-17,"7,312.72","7,515.12","7,303.46","7,372.00","7,372.00","16,510,000,000",GBP
1-Jun-17,"7,519.95","7,598.99","7,302.71","7,312.72","7,312.72","19,720,000,000",GBP
1-May-17,"7,203.94","7,586.45","7,203.94","7,519.95","7,519.95","18,870,000,000",GBP
1-Apr-17,"7,322.92","7,406.35","7,096.83","7,203.94","7,203.94","16,250,000,000",GBP
1-Mar-17,"7,263.44","7,447.00","7,255.78","7,322.92","7,322.92","20,640,000,000",GBP
1-Feb-17,"7,099.15","7,329.56","7,093.57","7,263.44","7,263.44","16,950,000,000",GBP
1-Jan-17,"7,142.83","7,354.14","7,099.15","7,099.15","7,099.15","17,900,000,000",GBP
1-Dec-16,"6,783.79","7,142.83","6,678.74","7,142.83","7,142.83","15,400,000,000",GBP
1-Nov-16,"6,954.22","6,997.25","6,676.56","6,783.79","6,783.79","20,470,000,000",GBP
1-Oct-16,"6,899.33","7,129.83","6,898.09","6,954.22","6,954.22","19,250,000,000",GBP
1-Sep-16,"6,781.51","6,941.09","6,654.48","6,899.33","6,899.33","18,670,000,000",GBP
1-Aug-16,"6,724.43","6,955.34","6,615.83","6,781.51","6,781.51","16,190,000,000",GBP
1-Jul-16,"6,504.33","6,780.05","6,432.47","6,724.43","6,724.43","19,720,000,000",GBP
1-Jun-16,"6,230.79","6,504.33","5,788.74","6,504.33","6,504.33","25,470,000,000",GBP
1-May-16,"6,241.89","6,290.07","6,050.21","6,230.79","6,230.79","15,080,000,000",GBP
1-Apr-16,"6,174.90","6,427.32","6,061.85","6,241.89","6,241.89","15,840,000,000",GBP
1-Mar-16,"6,097.09","6,237.02","6,036.70","6,174.90","6,174.90","16,590,000,000",GBP
1-Feb-16,"6,083.79","6,115.37","5,499.51","6,097.09","6,097.09","19,360,000,000",GBP
1-Jan-16,"6,242.32","6,242.32","5,639.88","6,083.79","6,083.79","17,940,000,000",GBP
1-Dec-15,"6,356.09","6,447.34","5,871.88","6,242.32","6,242.32","13,850,000,000",GBP
1-Nov-15,"6,361.09","6,459.46","6,079.79","6,356.09","6,356.09","14,570,000,000",GBP
1-Oct-15,"6,061.61","6,487.89","6,051.62","6,361.09","6,361.09","15,690,000,000",GBP
1-Sep-15,"6,247.94","6,284.17","5,877.08","6,061.61","6,061.61","18,510,000,000",GBP
1-Aug-15,"6,696.28","6,764.82","5,768.22","6,247.94","6,247.94","17,670,000,000",GBP
1-Jul-15,"6,520.98","6,813.41","6,430.36","6,696.28","6,696.28","15,850,000,000",GBP
1-Jun-15,"6,984.43","7,037.58","6,520.98","6,520.98","6,520.98","16,460,000,000",GBP
1-May-15,"6,960.63","7,083.72","6,810.05","6,984.43","6,984.43","15,790,000,000",GBP
1-Apr-15,"6,773.04","7,122.74","6,765.40","6,960.63","6,960.63","15,080,000,000",GBP
1-Mar-15,"6,946.66","7,065.08","6,693.80","6,773.04","6,773.04","17,930,000,000",GBP
1-Feb-15,"6,749.40","6,967.24","6,731.99","6,946.66","6,946.66","14,790,000,000",GBP
1-Jan-15,"6,566.09","6,864.97","6,298.15","6,749.40","6,749.40","16,130,000,000",GBP
1-Dec-14,"6,722.62","6,753.19","6,144.72","6,566.09","6,566.09","14,080,000,000",GBP
