Date,Open,High,Low,Close ,Adj Close ,Volume,Currency
1-Oct-25,88.8407,88.9215,87.4996,88.6345,88.6345,NULL,INR
1-Sep-25,88.1743,88.9313,87.7158,88.7045,88.7045,NULL,INR
1-Aug-25,87.4894,88.2894,86.9091,88.167,88.167,NULL,INR
1-Jul-25,85.714,87.7859,84.5595,87.7146,87.7146,NULL,INR
1-Jun-25,85.5156,87.0294,85.242,85.4553,85.4553,NULL,INR
1-May-25,84.5312,86.0998,72.9671,85.5156,85.5156,NULL,INR
1-Apr-25,85.4681,86.743,83.2361,85.1708,85.1708,NULL,INR
1-Mar-25,87.4711,87.4711,85.2654,85.5388,85.5388,NULL,INR
1-Feb-25,86.5808,88.0713,86.2887,87.327,87.327,NULL,INR
1-Jan-25,85.7857,86.8553,84.9396,86.647,86.647,NULL,INR
1-Dec-24,84.557,85.8178,77.5017,85.7866,85.7866,NULL,INR
1-Nov-24,84.0915,84.6398,84.0083,84.5619,84.5619,NULL,INR
1-Oct-24,83.8273,84.1865,83.7604,84.0891,84.0891,NULL,INR
1-Sep-24,83.8951,84.1946,83.4401,83.7164,83.7164,NULL,INR
1-Aug-24,83.7178,84.1703,83.4093,83.8951,83.8951,NULL,INR
1-Jul-24,83.3675,83.8588,83.3568,83.739,83.739,NULL,INR
1-Jun-24,83.3209,85.186,82.9801,83.4509,83.4509,NULL,INR
1-May-24,83.4984,83.6088,83.0192,83.3209,83.3209,NULL,INR
1-Apr-24,83.3648,83.7396,83.155,83.4511,83.4511,NULL,INR
1-Mar-24,82.9104,83.7157,82.659,83.393,83.393,NULL,INR
1-Feb-24,83.0536,83.1239,82.813,82.9119,82.9119,NULL,INR
1-Jan-24,83.2486,83.3603,81.5137,83.1097,83.1097,NULL,INR
1-Dec-23,83.3527,83.4602,81.026,82.302,82.302,NULL,INR
1-Nov-23,83.2772,83.5258,82.909,83.3303,83.3303,NULL,INR
1-Oct-23,83.1753,84.697,81.205,83.2965,83.2965,NULL,INR
1-Sep-23,82.6824,83.4022,82.5424,83.193,83.193,NULL,INR
1-Aug-23,82.2333,84.9293,82.222,82.7004,82.7004,NULL,INR
1-Jul-23,82.0754,82.8238,81.2669,82.2528,82.2528,NULL,INR
1-Jun-23,82.6668,82.712,81.8513,82.0754,82.0754,NULL,INR
1-May-23,81.7448,82.9494,81.617,82.6839,82.6839,NULL,INR
1-Apr-23,82.1005,82.4855,81.4715,81.7454,81.7454,NULL,INR
1-Mar-23,82.6354,83.0125,81.619,82.1005,82.1005,NULL,INR
1-Feb-23,81.7684,83.0803,81.633,82.652,82.652,NULL,INR
1-Jan-23,82.7395,83.031,80.8785,81.5799,81.5799,NULL,INR
1-Dec-22,81.3053,83.0359,80.993,82.7395,82.7395,NULL,INR
1-Nov-22,82.729,83.0708,80.3731,81.6309,81.6309,NULL,INR
1-Oct-22,81.4806,83.386,81.0998,82.2392,82.2392,NULL,INR
1-Sep-22,79.5488,82.113,79.023,81.4806,81.4806,NULL,INR
1-Aug-22,79.1948,80.1608,77.7743,79.6823,79.6823,NULL,INR
1-Jul-22,78.963,80.271,78.473,79.5715,79.5715,NULL,INR
1-Jun-22,77.599,79.108,77.3862,78.8983,78.8983,NULL,INR
1-May-22,76.589,78.095,75.994,77.5209,77.5209,NULL,INR
1-Apr-22,75.9092,77.038,75.2575,76.589,76.589,NULL,INR
1-Mar-22,75.2848,77.3735,75.2122,75.8278,75.8278,NULL,INR
1-Feb-22,74.5557,75.901,74.353,75.068,75.068,NULL,INR
1-Jan-22,74.4323,75.367,73.6975,75.039,75.039,NULL,INR
1-Dec-21,75.0562,76.4823,74.09,74.4312,74.4312,NULL,INR
1-Nov-21,74.9284,75.2065,73.8303,75.0549,75.0549,NULL,INR
1-Oct-21,74.2544,75.7,74.0546,74.7972,74.7972,NULL,INR
